match_id&player1&player2&player1_prematch&player2_prematch
2023-wimbledon-1301&Carlos Alcaraz&Nicolas Jarry&0.6638836008&0.5980163008
2023-wimbledon-1302&Alexander Zverev&Matteo Berrettini&0.6557490008&0.6536509008
2023-wimbledon-1701&Carlos Alcaraz&Novak Djokovic&0.5801509007999999&0.6106163008000001
2023-wimbledon-1316&Stan Wawrinka&Novak Djokovic&0.5821509008&0.6506163008000001
2023-wimbledon-1308&Laslo Djere&Stefanos Tsitsipas&0.6058836008&0.6600836008000001
2023-wimbledon-1501&Carlos Alcaraz&Holger Rune&0.5965566008&0.5833163008
2023-wimbledon-1310&Daniel Elahi Galan&Mikael Ymer&0.5696163008&0.5686836008
2023-wimbledon-1503&Jannik Sinner&Roman Safiullin&0.6307855008000001&0.6047509008
2023-wimbledon-1504&Andrey Rublev&Novak Djokovic&0.5825509008&0.6356855008000001
2023-wimbledon-1306&Jiri Lehecka&Tommy Paul&0.5977509007999999&0.6295163008
2023-wimbledon-1602&Jannik Sinner&Novak Djokovic&0.5782509008&0.6231509008
2023-wimbledon-1408&Hubert Hurkacz&Novak Djokovic&0.5997509007999999&0.6731509008000001
2023-wimbledon-1315&Lorenzo Musetti&Hubert Hurkacz&0.6213509008&0.6397509008
2023-wimbledon-1404&Christopher Eubanks&Stefanos Tsitsipas&0.6462836008&0.7163509008
2023-wimbledon-1407&Andrey Rublev&Alexander Bublik&0.6537490008000001&0.5942855008000001
2023-wimbledon-1502&Daniil Medvedev&Christopher Eubanks&0.6964509007999999&0.6150855008
2023-wimbledon-1314&Alexander Bublik&Maximilian Marterer&0.6617509008000001&0.6344490008
2023-wimbledon-1304&Alejandro Davidovich Fokina&Holger Rune&0.5530566008000001&0.6033163008
2023-wimbledon-1401&Carlos Alcaraz&Matteo Berrettini&0.6513490007999999&0.6211163008
2023-wimbledon-1307&Christopher Eubanks&Christopher OConnell&0.6725509008&0.6773509008
2023-wimbledon-1305&Daniil Medvedev&Marton Fucsovics&0.6239163008&0.5688855008
2023-wimbledon-1402&Grigor Dimitrov&Holger Rune&0.6013566008&0.6195836008
2023-wimbledon-1303&Frances Tiafoe&Grigor Dimitrov&0.6179836008&0.6474855008
2023-wimbledon-1405&Jannik Sinner&Daniel Elahi Galan&0.6319836008&0.5621509008
2023-wimbledon-1311&Guido Pella&Roman Safiullin&0.5376855007999999&0.6435528008000001
2023-wimbledon-1313&Andrey Rublev&David Goffin&0.6125509008000001&0.5804855007999999
2023-wimbledon-1601&Carlos Alcaraz&Daniil Medvedev&0.6026855007999999&0.5939163008
2023-wimbledon-1309&Jannik Sinner&Quentin Halys&0.6682509008&0.5961509007999999
2023-wimbledon-1403&Daniil Medvedev&Jiri Lehecka&0.6539163008&0.5802855008
2023-wimbledon-1312&Denis Shapovalov&Liam Broady&0.6411163008&0.5852836008000001
2023-wimbledon-1406&Roman Safiullin&Denis Shapovalov&0.6484836008000001&0.6361855007999999
