player_name,player_rank,return_rating,1st_serve_return_won,2nd_serve_return_won,percent_return_games_won,percent_break_points_converted
Ethan Quinn,1,189.7,30.8,56.9,35.3,66.7
Grigor Dimitrov,2,164.6,33.2,52.2,31.0,48.2
Adrian Mannarino,3,163.4,30.9,52.0,29.1,51.4
Daniel Elahi Galan,4,162.5,28.9,50.6,27.4,55.6
Liam Broady,5,159.5,34.2,52.1,29.9,43.3
Constant Lestienne,6,156.3,25.4,53.1,25.9,51.9
Diego Schwartzman,7,155.3,28.4,54.8,30.2,41.9
James Duckworth,8,154.8,35.9,51.3,27.6,40.0
David Goffin,9,151.8,34.0,48.8,29.0,40.0
Guido Pella,10,148.8,24.3,53.4,22.4,48.7
Carlos Alcaraz,11,148.4,34.3,52.3,26.7,35.1
Daniil Medvedev,12,146.6,30.1,50.9,23.1,42.5
Yibing Wu,13,146.4,25.8,51.0,19.6,50.0
Harold Mayot,14,145.7,32.9,46.2,22.2,44.4
Roman Safiullin,15,145.7,29.9,50.2,22.7,42.9
Casper Ruud,16,143.6,30.6,46.0,22.0,45.0
Denis Shapovalov,17,143.1,29.1,48.5,19.8,45.7
Steve Johnson,18,143.0,34.2,42.2,22.2,44.4
Yannick Hanfmann,19,142.8,30.2,50.2,22.8,39.6
Cameron Norrie,20,142.5,32.6,46.7,22.2,41.0
Alejandro Davidovich Fokina,21,142.4,27.3,53.3,23.8,38.0
Lorenzo Musetti,22,141.9,29.1,50.4,22.1,40.3
Alexander Bublik,23,141.9,27.1,54.0,21.3,39.5
Andrey Rublev,24,141.9,27.3,50.9,22.6,41.1
Jan Choinski,25,141.8,26.8,42.1,20.0,52.9
Andy Murray,26,140.5,26.9,49.5,17.0,47.1
Zhizhen Zhang,27,140.3,28.2,43.9,18.2,50.0
Quentin Halys,28,139.7,25.5,42.2,22.0,50.0
Tommy Paul,29,139.7,26.9,51.3,21.8,39.7
Kevin Anderson,30,139.5,28.7,55.4,25.0,30.4
Frances Tiafoe,31,139.3,21.6,54.1,17.1,46.5
Jan-Lennard Struff,32,138.4,25.4,47.8,19.3,45.9
Rinky Hijikata,33,137.9,30.9,47.6,22.2,37.2
Mikael Ymer,34,137.8,31.8,47.8,22.5,35.7
Jannik Sinner,35,137.3,31.1,52.4,23.6,30.2
Alex de Minaur,36,136.9,32.9,49.5,22.4,32.1
Jordan Thompson,37,134.9,29.5,48.4,18.6,38.4
Ilya Ivashka,38,134.4,30.9,46.8,20.0,36.7
Christopher O'Connell,39,133.4,21.9,51.1,17.2,43.2
Francisco Cerundolo,40,133.3,32.6,51.8,20.3,28.6
Mackenzie McDonald,41,132.8,20.9,55.6,15.7,40.6
Alex Michelsen,42,132.5,25.9,52.3,18.4,35.9
Tallon Griekspoor,43,132.5,27.7,44.4,18.4,42.0
Marton Fucsovics,44,132.3,28.3,51.4,18.1,34.5
Daniel Altmaier,45,132.0,18.4,42.9,10.7,60.0
Ugo Humbert,46,131.8,30.3,49.2,20.2,32.1
Arthur Rinderknech,47,131.3,26.9,46.9,17.5,40.0
Stan Wawrinka,48,131.2,24.1,47.8,18.4,40.9
Jaume Munar,49,131.0,25.2,54.5,15.6,35.7
Jason Kubler,50,130.1,24.3,50.9,17.4,37.5
Taylor Fritz,51,129.7,26.0,47.3,13.5,42.9
Novak Djokovic,52,129.1,25.9,51.2,18.7,33.3
Tomas Barrios Vera,53,128.8,31.1,51.1,15.0,31.6
Aleksandar Vukic,54,128.7,25.3,40.4,13.0,50.0
